bea_detail,usd_imports,employment_ours,employment_epa,employment_ratio,energy_ours,energy_epa,energy_ratio,land_ours,land_epa,land_ratio,material_ours,material_epa,material_ratio,water_ours,water_epa,water_ratio
21311A,197122679562.0,8.081261900150671e-09,5.450704403198143e-09,1.4826087240043833,0.0,5.2041751062113895e-05,0.0,1.5124084182623474e-07,2.3946134094068005e-07,0.631587717800764,6.563729769070274e-07,1.707191297145967e-06,0.3844753531747337,1.6004617058828616e-08,1.5073716900130076e-08,1.061756510677901
211000,195520068164.0,7.84574194559557e-09,2.204524096651831e-09,3.558927732979404,0.0,0.00013211792672840423,0.0,1.4918161738535307e-07,5.254543308793132e-07,0.2839097684011995,2.9373966846117656e-07,1.1806782990363497e-07,2.4878891117158846,1.6005993806093657e-08,9.457706665494937e-09,1.6923757917433822
533000,125893007568.0,2.5164225251262128e-08,3.1464574052084766e-09,7.997637345926444,0.0,1.4126345614432735e-06,0.0,2.158022953365813e-07,7.781826929316161e-08,2.773157219978744,1.8567353701018063e-07,1.868244623304651e-08,9.938395362902282,6.550284371866951e-09,2.9035572051535224e-09,2.2559515480669208
4B0000,125635836612.0,2.5836577265964265e-08,1.4113403840123431e-08,1.8306411095892163,0.0,3.2855915554687217e-06,0.0,2.1856821063566813e-07,3.4824112909740844e-07,0.6276346829053935,1.9040745574750375e-07,3.9261457757254324e-08,4.849729648979277,6.691872499694859e-09,1.0490531426660571e-08,0.6378964255984378
561600,121474601440.0,2.6573456193592926e-08,1.7547163337502465e-08,1.5144018256671221,0.0,2.2206733028960924e-06,0.0,2.2316599255022013e-07,9.324402385333817e-08,2.393354376267951,1.948802442598901e-07,3.166731246901904e-08,6.153987473693783,6.85842958218311e-09,3.915421197142777e-09,1.7516454135733728
493000,120093564078.0,2.61546072357378e-08,1.187217431254202e-08,2.2030174546972,0.0,1.1217924270089092e-05,0.0,2.2165217765301003e-07,1.559971656205763e-07,1.4208731086314925,1.9074294426903718e-07,7.344987642528905e-08,2.5969130725911436,6.696337194869866e-09,4.0453216613933895e-08,0.16553287365938038
541100,120093564078.0,2.61546072357378e-08,5.774155289774509e-09,4.529598863067499,0.0,1.4041546180469802e-06,0.0,2.2165217765301003e-07,5.899493068550732e-08,3.757139386002551,1.9074294426903718e-07,1.9982067215638248e-08,9.545706268056144,6.696337194869866e-09,3.5133873805768777e-09,1.9059490086089985
541200,120093564078.0,2.61546072357378e-08,6.809102161913103e-09,3.8411242207576652,0.0,1.2137129807002629e-06,0.0,2.2165217765301003e-07,4.613587944626301e-08,4.804334073899696,1.9074294426903718e-07,1.386648069648268e-08,13.755685270410417,6.696337194869866e-09,2.7607094675111914e-09,2.425585623432764
541300,120093564078.0,2.61546072357378e-08,7.787945470294516e-09,3.358344936478955,0.0,2.8276994467423223e-06,0.0,2.2165217765301003e-07,1.2925255548754007e-07,1.7148765594377535,1.9074294426903718e-07,1.0736220786048977e-07,1.7766302320914942,6.696337194869866e-09,5.967093327150572e-09,1.1222109036574304
541610,120093564078.0,2.61546072357378e-08,7.350639492130155e-09,3.5581403854371874,0.0,1.716533419339249e-06,0.0,2.2165217765301003e-07,7.932970395491211e-08,2.7940628365257534,1.9074294426903718e-07,2.136956405477732e-08,8.925916494136212,6.696337194869866e-09,3.241804636512444e-09,2.06562021642175
