bea_detail,usd_imports,employment_ours,employment_epa,employment_ratio,energy_ours,energy_epa,energy_ratio,land_ours,land_epa,land_ratio,material_ours,material_epa,material_ratio,water_ours,water_epa,water_ratio
5416A0,120093564078.0,2.61546072357378e-08,7.93281362946735e-09,3.297015215204792,0.0,1.5793856631997448e-06,0.0,2.2165217765301003e-07,8.481685779693502e-08,2.613303338632049,1.9074294426903718e-07,3.6008046563238094e-08,5.297231104554655,6.696337194869866e-09,3.0335686361639516e-09,2.2074124564188558
541800,120093564078.0,2.61546072357378e-08,5.933531401851223e-09,4.407932724107222,0.0,2.534102572333509e-06,0.0,2.2165217765301003e-07,1.6550212766195824e-07,1.3392708648781815,1.9074294426903718e-07,3.838520850176643e-08,4.969178277623774,6.696337194869866e-09,6.404116269874229e-09,1.0456301717022662
541920,120093564078.0,2.61546072357378e-08,7.356240128409258e-09,3.555431413220272,0.0,2.3856068492820427e-06,0.0,2.2165217765301003e-07,1.241469788531493e-07,1.785401301752155,1.9074294426903718e-07,4.128104292969104e-08,4.620594120984451,6.696337194869866e-09,5.724292464800456e-09,1.1698104588552491
5419A0,120093564078.0,2.61546072357378e-08,5.577265232067426e-09,4.689503932027023,0.0,1.9094067439525304e-06,0.0,2.2165217765301003e-07,1.0926473929520661e-07,2.02857920206225,1.9074294426903718e-07,2.7069570925058716e-08,7.0463970336694,6.696337194869866e-09,3.943065844713422e-09,1.6982564985182358
550000,120093564078.0,2.61546072357378e-08,6.082475787410475e-09,4.299993645658677,0.0,2.587394457916361e-06,0.0,2.2165217765301003e-07,6.624745785876003e-08,3.3458216332704236,1.9074294426903718e-07,2.331155828479648e-08,8.182333499062457,6.696337194869866e-09,7.544312822733357e-09,0.8876006804346346
561300,120093564078.0,2.61546072357378e-08,1.191170635449156e-08,2.1957061782232112,0.0,8.368588681069971e-07,0.0,2.2165217765301003e-07,3.988624108389681e-08,5.557108707907228,1.9074294426903718e-07,9.132158005400284e-09,20.88695181973874,6.696337194869866e-09,1.7293831888150905e-09,3.872095691792835
561700,120093564078.0,2.61546072357378e-08,1.4987377265474596e-08,1.7451090189067566,0.0,4.268727812794066e-06,0.0,2.2165217765301003e-07,1.8151000162150605e-07,1.2211568270227362,1.9074294426903718e-07,9.477604393826917e-08,2.0125649514689017,6.696337194869866e-09,5.801599364748195e-09,1.1542226158459505
561100,120093564078.0,2.61546072357378e-08,1.2155044526043667e-08,2.15174919184363,0.0,2.0928187569802746e-06,0.0,2.2165217765301003e-07,9.254963291912974e-08,2.394954692545249,1.9074294426903718e-07,2.7596536669180205e-08,6.911843560502242,6.696337194869866e-09,4.65230026082996e-09,1.4393604925395025
561200,120093564078.0,2.61546072357378e-08,9.168991675361294e-09,2.8525063782116704,0.0,3.822939609629474e-06,0.0,2.2165217765301003e-07,2.2015597737183285e-07,1.006796092020932,1.9074294426903718e-07,1.6079499062997876e-07,1.186249294966997,6.696337194869866e-09,1.1170503339606594e-08,0.5994660214752418
561400,120093564078.0,2.61546072357378e-08,1.4966579208714767e-08,1.7475340805004025,0.0,2.8647067668465993e-06,0.0,2.2165217765301003e-07,1.4331735866025124e-07,1.5465829102981143,1.9074294426903718e-07,3.48065821759265e-08,5.480082569007937,6.696337194869866e-09,5.714398839914641e-09,1.171835810286195
561900,120093564078.0,2.61546072357378e-08,1.0138405525057987e-08,2.5797554823679443,0.0,3.5278524736579417e-06,0.0,2.2165217765301003e-07,1.919431103088496e-07,1.1547805873123371,1.9074294426903718e-07,4.833231694551478e-08,3.9464887330781697,6.696337194869866e-09,6.363716356066023e-09,1.0522683319294681
711100,120093564078.0,2.61546072357378e-08,7.469862884335427e-09,3.5013503782760136,0.0,1.9752903038351085e-06,0.0,2.2165217765301003e-07,1.0271610141520052e-07,2.1579107325836326,1.9074294426903718e-07,2.520093960734177e-08,7.568882241734677,6.696337194869866e-09,4.708696391116925e-09,1.4221212494189848
326220,104952526096.0,3.8646044558184146e-08,8.940357978319966e-09,4.322650687131249,0.0,9.137291859591158e-06,0.0,1.111902727269826e-06,2.690430617297677e-06,0.4132805804844147,1.1525115640319022e-06,2.3805083982495378e-07,4.841451367612818,3.0495130694352854e-08,2.988222939261288e-08,1.02051056143393
326210,99539275606.0,2.985756106729045e-08,7.623620350190005e-09,3.916454347906544,0.0,1.0078906918108921e-05,0.0,9.475857587446064e-07,1.3438020155763962e-05,0.07051528035833157,7.607449375031973e-07,5.976052636190843e-07,1.2729890176939584,2.155360270544975e-08,3.920323473956685e-08,0.5497914355443796
333511,95226652778.0,2.4415433412536574e-08,9.09464636804657e-09,2.6845940374678627,0.0,7.40393638543767e-06,0.0,5.078200124573951e-07,1.9501539879808158e-07,2.6039995589435,9.60466396033299e-07,1.0485658861795629e-07,9.159809685710325,3.1909921344017035e-08,1.9524580884916327e-08,1.6343460344733431
3252A0,88592226440.0,4.387518133583098e-08,5.4604274467926315e-09,8.03511845242126,0.0,2.360389687325241e-05,0.0,1.248247215853581e-06,1.2002606499440454e-06,1.0399801209110477,1.001442266044488e-06,3.1189064103182924e-07,3.210876295394475,3.4258186321296234e-08,6.15584778992778e-08,0.5565145125477209
336111,86406564358.0,2.007949295161814e-08,7.581058415404177e-09,2.6486397876605228,0.0,5.994021052000961e-06,0.0,3.699487444907351e-07,4.499433447813171e-07,0.8222118379604854,4.888980404888511e-07,1.2296742743986122e-07,3.975833687567001,1.3041891068958577e-08,1.4176093496506647e-08,0.9199918914313336
336112,86406564358.0,2.007949295161814e-08,6.13005705722399e-09,3.2755801070326713,0.0,6.650001909478273e-06,0.0,3.699487444907351e-07,5.772297184368292e-07,0.640903842394978,4.888980404888511e-07,1.3456021258987518e-07,3.633303121918801,1.3041891068958577e-08,1.4499260723819787e-08,0.8994866233099041
336120,86406564358.0,2.007949295161814e-08,7.055915347370337e-09,2.845767269458745,0.0,6.043340176639348e-06,0.0,3.699487444907351e-07,6.374152049900983e-07,0.5803889546319843,4.888980404888511e-07,1.2832826695011304e-07,3.809745523010201,1.3041891068958577e-08,1.38803135711458e-08,0.9395962852071207
336211,86406564358.0,2.007949295161814e-08,9.057962493109966e-09,2.2167781073162773,0.0,5.905804236021662e-06,0.0,3.699487444907351e-07,6.249773062069573e-07,0.591939484548626,4.888980404888511e-07,1.0963953523452406e-07,4.459140030492426,1.3041891068958577e-08,1.5906712967783816e-08,0.8198985607757291
336212,86406564358.0,2.007949295161814e-08,9.068572760607271e-09,2.2141844677963998,0.0,7.234010446618551e-06,0.0,3.699487444907351e-07,8.705391887658486e-07,0.4249650667825837,4.888980404888511e-07,1.2041020642121565e-07,4.060270761255914,1.3041891068958577e-08,1.7612501482728914e-08,0.7404905590354472
336213,86406564358.0,2.007949295161814e-08,9.308153936417772e-09,2.157193906415529,0.0,5.356666091193086e-06,0.0,3.699487444907351e-07,6.362390618546614e-07,0.5814618539960754,4.888980404888511e-07,1.0892466938076943e-07,4.48840509012521,1.3041891068958577e-08,1.6811216517063398e-08,0.7757850870412053
336214,86406564358.0,2.007949295161814e-08,9.092484769359262e-09,2.208361461245881,0.0,7.858124696858963e-06,0.0,3.699487444907351e-07,1.3625003381815988e-06,0.2715219469115662,4.888980404888511e-07,1.5150313495741978e-07,3.2269829969277977,1.3041891068958577e-08,2.2774877930413518e-08,0.5726437309041498
336411,86406564358.0,2.007949295161814e-08,5.092305855849972e-09,3.9431042675001717,0.0,2.8558051272792853e-06,0.0,3.699487444907351e-07,9.316680941283089e-08,3.9708212272404593,4.888980404888511e-07,5.81963302541236e-08,8.40083968102455,1.3041891068958577e-08,8.423195541546911e-09,1.5483305598962085
336414,86406564358.0,2.007949295161814e-08,5.447680120670176e-09,3.685879586694226,0.0,2.455815889888745e-06,0.0,3.699487444907351e-07,7.593327278738688e-08,4.872024224829494,4.888980404888511e-07,3.712186899958691e-08,13.170081508942655,1.3041891068958577e-08,9.13088063142767e-09,1.4283278465025118
336611,86406564358.0,2.007949295161814e-08,9.865886340147129e-09,2.03524470679425,0.0,4.234945355963828e-06,0.0,3.699487444907351e-07,2.3245971056690463e-07,1.5914531752127408,4.888980404888511e-07,7.001787417240182e-08,6.98247477901228,1.3041891068958577e-08,1.3760341188641042e-08,0.9477883498793231
336612,86406564358.0,2.007949295161814e-08,9.525602246913778e-09,2.1079499680058276,0.0,5.324928537958833e-06,0.0,3.699487444907351e-07,4.02691461006716e-07,0.9186903133378465,4.888980404888511e-07,9.463163827717985e-08,5.1663275558735355,1.3041891068958577e-08,1.5891643324809825e-08,0.8206760498203322
336991,86406564358.0,2.007949295161814e-08,4.868809854936056e-09,4.124107030234774,0.0,6.0319178636063425e-06,0.0,3.699487444907351e-07,5.344143530222279e-07,0.6922507645960395,4.888980404888511e-07,9.397181071569446e-08,5.202603171795635,1.3041891068958577e-08,1.130522191426609e-08,1.1536165471020945
336992,86406564358.0,2.007949295161814e-08,4.930493437539665e-09,4.072511850180635,0.0,7.05811916895422e-06,0.0,3.699487444907351e-07,3.708089925673624e-07,0.997680077630612,4.888980404888511e-07,1.269817160212482e-07,3.8501451689867094,1.3041891068958577e-08,1.226612679366052e-08,1.063244436352883
541700,85593331452.0,1.7583145491234805e-08,6.05548320815779e-09,2.903673395964049,0.0,4.0968795385477565e-06,0.0,4.877716440259489e-07,3.1703791405030565e-07,1.5385277987558053,5.546576958115431e-07,9.099000197582043e-08,6.095809251206932,5.1395031895293805e-08,1.1208304106893913e-08,4.585442311801851
333316,80197621960.0,3.8554759161589484e-08,7.407503576178415e-09,5.204824913696521,0.0,6.245812941566943e-06,0.0,6.494332216730482e-07,3.489991514769616e-07,1.8608447009817992,1.3972110052825312e-06,1.6303844796173284e-07,8.56982523294428,3.243304397850238e-08,1.3776066676641573e-08,2.3543036441232688
5241XX,78267261436.0,1.5549285584690532e-08,4.5555798620109765e-09,3.413239599717299,0.0,7.472456510151317e-07,0.0,9.930077860658572e-08,2.9595464612505618e-08,3.3552701370542426,6.803610989192858e-08,1.1647434438717616e-08,5.841295802083893,2.1336379596793845e-09,1.906554552024569e-09,1.1191066929680433
524200,78267261436.0,1.5549285584690532e-08,6.681771102408836e-09,2.327120361708422,0.0,7.59485095501896e-07,0.0,9.930077860658572e-08,2.5930301734388793e-08,3.829526537089729,6.803610989192858e-08,1.0676843322158319e-08,6.372305731107714,2.1336379596793845e-09,1.5180460709018713e-09,1.4055159461740117
324110,69209513202.0,1.593711541910001e-08,2.1920436948717364e-09,7.270436924402889,0.0,9.618656564857594e-05,0.0,4.5448954261812406e-07,4.1691715424871116e-07,1.090119554896029,1.030956536159224e-06,1.1567023348636875e-07,8.912894053081667,3.375537396400107e-08,1.0219192288522674e-08,3.3031352195918875
326110,66613355946.0,3.9226367789039544e-08,5.9641747433888516e-09,6.576998407452943,0.0,1.5786119628249975e-05,0.0,1.3454659163645074e-06,5.915707984081291e-07,2.274395423143014,1.0351527711034144e-06,2.416387357299094e-07,4.283885892618026,2.8445421688948428e-08,2.9192036135122804e-08,0.9744240366544328
326120,66613355946.0,3.9226367789039544e-08,5.969324664662563e-09,6.571324227220091,0.0,1.4400027253469856e-05,0.0,1.3454659163645074e-06,4.980262552972656e-07,2.701596355721077,1.0351527711034144e-06,2.178709686651403e-07,4.751219391209512,2.8445421688948428e-08,2.760560736462962e-08,1.0304218745570815
326130,66613355946.0,3.9226367789039544e-08,8.494713758536352e-09,4.6177386200471915,0.0,1.266393447785787e-05,0.0,1.3454659163645074e-06,7.044158910564115e-07,1.9100448093905351,1.0351527711034144e-06,3.080369480567324e-07,3.360482492875388,2.8445421688948428e-08,2.5947259715989582e-08,1.0962784509926262
326140,66613355946.0,3.9226367789039544e-08,8.379349375778187e-09,4.681314267958496,0.0,1.5151824623280658e-05,0.0,1.3454659163645074e-06,6.033626865514319e-07,2.2299455142886386,1.0351527711034144e-06,2.7259283796312607e-07,3.7974320192647197,2.8445421688948428e-08,3.102505667713185e-08,0.9168531740319161
326150,66613355946.0,3.9226367789039544e-08,7.680746937734249e-09,5.107103268345796,0.0,1.3764061166810248e-05,0.0,1.3454659163645074e-06,5.162026223372064e-07,2.606468580637294,1.0351527711034144e-06,7.712592103497619e-07,1.3421593638200808,2.8445421688948428e-08,2.5162797713181e-08,1.130455445105291
326160,66613355946.0,3.9226367789039544e-08,6.2839167315979885e-09,6.242343663116038,0.0,1.673500266628945e-05,0.0,1.3454659163645074e-06,6.25428986788984e-07,2.151268880696218,1.0351527711034144e-06,2.0349084281706885e-07,5.086974709884024,2.8445421688948428e-08,3.576310013088301e-08,0.7953846726051738
326190,66613355946.0,3.9226367789039544e-08,7.284410327013314e-09,5.3849750395819305,0.0,1.1886729232878362e-05,0.0,1.3454659163645074e-06,6.729828462179183e-07,1.9992573717530278,1.0351527711034144e-06,2.236262124046357e-07,4.628942018793303,2.8445421688948428e-08,2.5240486485486965e-08,1.1269759679673477
326290,66613355946.0,3.9226367789039544e-08,7.732138329102372e-09,5.073159082190574,0.0,1.0192175703103249e-05,0.0,1.3454659163645074e-06,5.444492642979476e-06,0.2471242050624219,1.0351527711034144e-06,4.2665602038047227e-07,2.4261998463781493,2.8445421688948428e-08,2.9380263343218386e-08,0.9681813044577172
325180,62680982104.0,2.3005382998106828e-08,4.291837215819265e-09,5.360264576976821,0.0,1.7013149838099462e-05,0.0,1.234281873114794e-06,2.9944900745577694e-07,4.121843260065153,1.5859515384596406e-06,5.6583132831277805e-06,0.2802869793704608,3.1387000234548706e-08,2.8387799643633064e-08,1.1056510412418779
325190,62666015726.0,2.3010877319933348e-08,3.855929602079873e-09,5.967660122093872,0.0,2.7151485894795676e-05,0.0,1.2345128233180886e-06,2.0834282281416575e-06,0.5925391653252339,1.5861388162062518e-06,4.2446643492399703e-07,3.7367826657254026,3.138559197060881e-08,7.267205560032078e-08,0.4318797880607945
325110,62512266136.0,2.3019482238403426e-08,2.5024691244165094e-09,9.198707793755812,0.0,4.9866340161424486e-05,0.0,1.232830047023653e-06,5.318167128214472e-07,2.3181483719891385,1.5884882461942046e-06,1.422408234868776e-07,11.16759736940605,3.14856766785248e-08,1.9300353474589692e-08,1.6313523335195887
332119,62300733118.0,3.155661099968631e-08,8.489492282327937e-09,3.717137603785305,0.0,1.0877554607824055e-05,0.0,7.008264239411514e-07,2.0957107325645367e-07,3.3440990354787417,1.359422205186385e-06,1.3989887154173184e-07,9.717177774238653,4.4752121852551e-08,1.8635312571179186e-08,2.401468807223727
332200,62300733118.0,3.155661099968631e-08,7.3253348727926676e-09,4.307872820516648,0.0,7.305237923277908e-06,0.0,7.008264239411514e-07,2.7269679627065797e-07,2.5699840758142414,1.359422205186385e-06,1.0244114107691507e-07,13.270275895947906,4.4752121852551e-08,1.5199037789081614e-08,2.9444049336267293
332310,62300733118.0,3.155661099968631e-08,8.212440274320321e-09,3.8425376557515363,0.0,1.0019351917112037e-05,0.0,7.008264239411514e-07,1.7958453249911618e-07,3.90248767078312,1.359422205186385e-06,1.3940023787963168e-07,9.751936050211114,4.4752121852551e-08,1.5794415446957964e-08,2.8334142534645275
332320,62300733118.0,3.155661099968631e-08,9.00350711039812e-09,3.5049243159081516,0.0,8.631058597364997e-06,0.0,7.008264239411514e-07,2.577471882958743e-07,2.719045854873325,1.359422205186385e-06,1.3557234700497553e-07,10.027282371503784,4.4752121852551e-08,1.7404271154130147e-08,2.5713298451990063
332420,62300733118.0,3.155661099968631e-08,8.147283933545729e-09,3.8732676137325623,0.0,1.0075671373573078e-05,0.0,7.008264239411514e-07,1.8694110177200584e-07,3.748915660055766,1.359422205186385e-06,1.4279224847691663e-07,9.520280125052762,4.4752121852551e-08,1.595111390076791e-08,2.8055797313563513
332430,62300733118.0,3.155661099968631e-08,6.527399426296869e-09,4.834484446065074,0.0,1.1948892150713594e-05,0.0,7.008264239411514e-07,2.3239328126948186e-07,3.015691418068482,1.359422205186385e-06,1.5100987403082024e-07,9.002207398099907,4.4752121852551e-08,2.3667978278811817e-08,1.8908299359313783
332500,62300733118.0,3.155661099968631e-08,7.415856581657641e-09,4.255288738692485,0.0,6.855415404556256e-06,0.0,7.008264239411514e-07,3.932497968842551e-07,1.7821405872141496,1.359422205186385e-06,1.1732044548481747e-07,11.587257443224667,4.4752121852551e-08,1.493146326981665e-08,2.9971692019639904
332600,62300733118.0,3.155661099968631e-08,8.959246774544078e-09,3.5222392901765085,0.0,9.06966438889637e-06,0.0,7.008264239411514e-07,2.5634838338639097e-07,2.733882752382346,1.359422205186385e-06,1.475691993371774e-07,9.212099891389077,4.4752121852551e-08,1.8372589139684623e-08,2.4358092107925513
332710,62300733118.0,3.155661099968631e-08,1.0373196554526248e-08,3.042129861688283,0.0,5.654805109465635e-06,0.0,7.008264239411514e-07,1.3551523635931036e-07,5.17156921073401,1.359422205186385e-06,8.35978378439028e-08,16.261451734251214,4.4752121852551e-08,1.7788577712828242e-08,2.5157785279414435
332720,62300733118.0,3.155661099968631e-08,6.97360076757079e-09,4.52515308109312,0.0,7.573271390242891e-06,0.0,7.008264239411514e-07,1.6221040568286638e-07,4.32047759815927,1.359422205186385e-06,1.0727474699591094e-07,12.672341284927038,4.4752121852551e-08,1.5971939293526506e-08,2.801921609524851
332800,62300733118.0,3.155661099968631e-08,8.509552187445805e-09,3.7083750477777166,0.0,9.643959967722485e-06,0.0,7.008264239411514e-07,2.1728814187816118e-07,3.2253321229748564,1.359422205186385e-06,1.684376755036184e-07,8.070772771719838,4.4752121852551e-08,2.0972034897902777e-08,2.133895068857923
332913,62300733118.0,3.155661099968631e-08,6.930240066968418e-09,4.553465781090973,0.0,6.261100186770052e-06,0.0,7.008264239411514e-07,2.827860772063004e-07,2.4782918270402643,1.359422205186385e-06,1.2963290213943258e-07,10.486706559451985,4.4752121852551e-08,1.4173072914035123e-08,3.1575454472004063
33291A,62300733118.0,3.155661099968631e-08,7.03471375490004e-09,4.485841513836367,0.0,6.185235582187105e-06,0.0,7.008264239411514e-07,2.2136050768949128e-07,3.165995738156784,1.359422205186385e-06,9.804726557869867e-08,13.864968055587745,4.4752121852551e-08,1.4316501540960482e-08,3.1259118524530694
332991,62300733118.0,3.155661099968631e-08,7.651901156901454e-09,4.124022298853737,0.0,6.20708002130674e-06,0.0,7.008264239411514e-07,1.1236303465959355e-07,6.237161768230286,1.359422205186385e-06,7.448425949472404e-08,18.251134057158442,4.4752121852551e-08,1.5886586192330893e-08,2.816975359637345
332996,62300733118.0,3.155661099968631e-08,9.085524872345178e-09,3.473284311370867,0.0,9.768659771865637e-06,0.0,7.008264239411514e-07,1.7740926036285466e-07,3.9503373302371765,1.359422205186385e-06,1.2641583504465293e-07,10.7535753310193,4.4752121852551e-08,1.653826114582633e-08,2.7059750392105064
33299A,62300733118.0,3.155661099968631e-08,5.907138507925228e-09,5.342114622392692,0.0,4.958899489186669e-06,0.0,7.008264239411514e-07,3.8994159816510756e-07,1.7972599672333758,1.359422205186385e-06,7.174787513699466e-08,18.9472120615519,4.4752121852551e-08,1.279333871696134e-08,3.4980799651008128
332999,62300733118.0,3.155661099968631e-08,8.600393977711545e-09,3.669205280765884,0.0,8.620831860585246e-06,0.0,7.008264239411514e-07,2.3144397733954971e-07,3.0280607514490394,1.359422205186385e-06,1.4450124026403613e-07,9.407685378356726,4.4752121852551e-08,1.755944313696992e-08,2.5486071228722054
325130,62282587644.0,2.308831495922167e-08,4.289086901289151e-09,5.383037343515265,0.0,1.6833553297118164e-05,0.0,1.236429039207053e-06,3.5759523011290354e-07,3.4576217328644887,1.5906853544089078e-06,1.4400460748928109e-06,1.1046072637136348,3.1480194933565393e-08,2.1196113471942445e-08,1.4851871299536168
325411,62282587644.0,2.308831495922167e-08,4.093207310896284e-09,5.640641483699015,0.0,4.1192822390603555e-06,0.0,1.236429039207053e-06,3.0015372114417787e-07,4.119319375731272,1.5906853544089078e-06,5.29757566986159e-08,30.026666036286514,3.1480194933565393e-08,1.5477030876892834e-08,2.0339944517759694
325412,62282587644.0,2.308831495922167e-08,3.1704115253482985e-09,7.2824347169521495,0.0,3.0623364060340156e-06,0.0,1.236429039207053e-06,2.8859577549596416e-07,4.284293618235392,1.5906853544089078e-06,4.443810304305425e-08,35.79552783492487,3.1480194933565393e-08,1.0218883928968447e-08,3.0805903220336495
325413,62282587644.0,2.308831495922167e-08,3.734152273309246e-09,6.1830137791249085,0.0,2.6867113627063933e-06,0.0,1.236429039207053e-06,2.0343062507232058e-07,6.07789038040608,1.5906853544089078e-06,3.784332290547639e-08,42.033448235559575,3.1480194933565393e-08,8.29312253085897e-09,3.7959399269004646
325414,62282587644.0,2.308831495922167e-08,2.5309864475703107e-09,9.122259418412108,0.0,1.2794034372026192e-06,0.0,1.236429039207053e-06,6.272408709728471e-08,19.71218867305886,1.5906853544089078e-06,1.6436354284570853e-08,96.77847817518251,3.1480194933565393e-08,4.328387886776444e-09,7.2729606858340485
325320,62282587644.0,2.308831495922167e-08,4.245648054869042e-09,5.438113254051585,0.0,1.3858746642109623e-05,0.0,1.236429039207053e-06,2.6069904538956045e-06,0.47427447897228286,1.5906853544089078e-06,3.483543537417283e-07,4.566285270510068,3.1480194933565393e-08,3.4999015547278796e-08,0.8994594402531132
325510,62282587644.0,2.308831495922167e-08,4.8144886919582605e-09,4.7955902353216775,0.0,1.2274166892892413e-05,0.0,1.236429039207053e-06,8.433547165788635e-07,1.4660842168793784,1.5906853544089078e-06,7.884651904504861e-07,2.017445251451211,3.1480194933565393e-08,2.195637821735177e-08,1.4337608243916615
325520,62282587644.0,2.308831495922167e-08,5.083463181570656e-09,4.541847581964386,0.0,1.495621658154834e-05,0.0,1.236429039207053e-06,8.809133780448513e-07,1.403576185834813,1.5906853544089078e-06,1.1945863290005034e-06,1.3315784014871623,3.1480194933565393e-08,2.7452304376048682e-08,1.1467232222964467
325610,62282587644.0,2.308831495922167e-08,4.585422373379743e-09,5.035155560207235,0.0,9.712530275700006e-06,0.0,1.236429039207053e-06,5.666780061349936e-07,2.1818899371797955,1.5906853544089078e-06,3.845553956544856e-07,4.136427085366143,3.1480194933565393e-08,1.8128276364010752e-08,1.7365244384767655
325620,62282587644.0,2.308831495922167e-08,4.441328953506532e-09,5.19851494922323,0.0,5.9483122385868405e-06,0.0,1.236429039207053e-06,5.235466845181826e-07,2.3616404721289235,1.5906853544089078e-06,1.3449654952585795e-07,11.826960319923202,3.1480194933565393e-08,1.4702870881355777e-08,2.141091708387672
325910,62282587644.0,2.308831495922167e-08,5.6282673306307835e-09,4.102206523412253,0.0,1.5051163493301617e-05,0.0,1.236429039207053e-06,3.773588434373904e-07,3.276533889982084,1.5906853544089078e-06,6.260451640198973e-07,2.5408476030626312,3.1480194933565393e-08,1.806522232718046e-08,1.7425855250173765
3259A0,62282587644.0,2.308831495922167e-08,5.227786090050639e-09,4.416461301498667,0.0,1.4839468489952888e-05,0.0,1.236429039207053e-06,5.639857165279266e-07,2.192305590323987,1.5906853544089078e-06,6.949200082095264e-07,2.2890193628290207,3.1480194933565393e-08,2.2715460544338983e-08,1.3858488526842
331110,52952399838.0,2.4550350956276898e-08,5.820249942995013e-09,4.218092211971855,0.0,2.775111429705141e-05,0.0,8.162613995255049e-07,3.051385487413739e-07,2.6750517195955568,2.5883435013202733e-06,3.3559707193929387e-07,7.712652218218634,7.859207538717627e-08,2.0791420242658663e-08,3.7800243788024392
331510,52952399838.0,2.4550350956276898e-08,7.469740615186022e-09,3.286640356208073,0.0,9.902410175370707e-06,0.0,8.162613995255049e-07,2.0647517045490993e-07,3.953315053461889,2.5883435013202733e-06,5.412429348571288e-07,4.782221318054738,7.859207538717627e-08,2.0133937742196334e-08,3.903462720184361
483000,45217502554.0,3.675567879971242e-08,6.156269236637963e-09,5.970446935778475,0.0,1.6235436960424756e-05,0.0,2.6848010868141323e-07,1.7469466859666327e-07,1.5368534760570323,2.9488581294546656e-07,5.099330446828598e-08,5.7828339626207885,1.233743503046806e-08,6.476705617183246e-09,1.904893592467103
336310,44352475010.0,3.0798732194584694e-08,7.556744865404156e-09,4.075661246098917,0.0,7.2757805843324e-06,0.0,3.1551790507395183e-07,2.427648727872821e-07,1.299685170475294,8.148812437603806e-07,1.3457224699828022e-07,6.055343965318454,1.1722818171539951e-08,1.6489646486604064e-08,0.7109199206340409
336320,44352475010.0,3.0798732194584694e-08,7.587540829259387e-09,4.059119138551104,0.0,5.921041500390888e-06,0.0,3.1551790507395183e-07,1.9872497289067505e-07,1.587711400758516,8.148812437603806e-07,1.0466844593216743e-07,7.785357244039731,1.1722818171539951e-08,1.49480603941493e-08,0.7842367412516131
